Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,STACKS,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,scientific_name,SRA Study,Submitter_Id,ENA_first_public,INSDC_status,sub_species
ERR14108412,RAD-Seq,67,188778209,PRJEB79940,SAMEA117576397,79661228,NEES INSTITUTE,2015-01-21,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2025-03-11,2025-03-11,ERX13510909,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus nobilis,NOBI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:46:00Z,1,SAMEA117576397,W6121,Austrocactus nobilis,ERP164019,W6121,,,
ERR14108413,RAD-Seq,67,103707521,PRJEB79940,SAMEA117576398,43347253,NEES INSTITUTE,2008-12-20,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510910,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus occidentalis,OCCI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:19:00Z,1,SAMEA117576398,W5856,Austrocactus occidentalis,ERP164019,W5856,,,
ERR14108414,RAD-Seq,68,113347193,PRJEB79940,SAMEA117576399,47442837,NEES INSTITUTE,2008-12-30,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510911,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus occidentalis,OCCI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T11:50:00Z,1,SAMEA117576399,W5857,Austrocactus occidentalis,ERP164019,W5857,,,
ERR14108415,RAD-Seq,66,113642839,PRJEB79940,SAMEA117576400,47043806,NEES INSTITUTE,2010-01-11,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510912,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus occidentalis,OCCI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:44:00Z,1,SAMEA117576400,W5858,Austrocactus occidentalis,ERP164019,W5858,,,
ERR14108416,RAD-Seq,66,108158306,PRJEB79940,SAMEA117576401,45696612,NEES INSTITUTE,2016-01-10,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2025-03-11,2025-03-11,ERX13510913,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus occidentalis,OCCI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T23:13:00Z,1,SAMEA117576401,W5860,Austrocactus occidentalis,ERP164019,W5860,,,
ERR14108417,RAD-Seq,67,94097940,PRJEB79940,SAMEA117576402,39466874,NEES INSTITUTE,2014-01-20,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-03-11,2025-03-11,ERX13510914,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus occidentalis,OCCI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:20:00Z,1,SAMEA117576402,W5888,Austrocactus occidentalis,ERP164019,W5888,,,
ERR14108418,RAD-Seq,66,82264830,PRJEB79940,SAMEA117576403,34575071,NEES INSTITUTE,2008-12-30,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510915,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus occidentalis,OCCI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:47:00Z,1,SAMEA117576403,W5894,Austrocactus occidentalis,ERP164019,W5894,,,
ERR14108419,RAD-Seq,68,115874991,PRJEB79940,SAMEA117576404,48007319,NEES INSTITUTE,2014-01-01,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2025-03-11,2025-03-11,ERX13510916,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus pauxillus,PAU,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:45:00Z,1,SAMEA117576404,W5879,Austrocactus pauxillus,ERP164019,W5879,,,
ERR14108420,RAD-Seq,66,100044757,PRJEB79940,SAMEA117576405,41978599,NEES INSTITUTE,2009-12-15,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2025-03-11,2025-03-11,ERX13510917,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus philippii,PHILI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T05:52:00Z,1,SAMEA117576405,W5859,Austrocactus philippii,ERP164019,W5859,2025-03-11,public,
ERR14108421,RAD-Seq,66,86044986,PRJEB79940,SAMEA117576406,36322560,NEES INSTITUTE,2016-01-23,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510918,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus praecox,PRAE,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:19:00Z,1,SAMEA117576406,W6052,Austrocactus praecox,ERP164019,W6052,,,
ERR14108422,RAD-Seq,69,124334719,PRJEB79940,SAMEA117576407,51689319,NEES INSTITUTE,2015-01-17,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510919,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus subandinus,SUBA,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:46:00Z,1,SAMEA117576407,W5877,Austrocactus subandinus,ERP164019,W5877,2025-03-11,public,
ERR14108423,RAD-Seq,68,128245238,PRJEB79940,SAMEA117576408,53502189,NEES INSTITUTE,2019-10-02,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2025-03-11,2025-03-11,ERX13510920,Chile,South America,Chile,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Corryocactus brevistylus,BREVI,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T21:50:00Z,1,SAMEA117576408,W6077,Corryocactus brevistylus,ERP164019,W6077,2025-03-11,public,
